hashtag,video_url,video_caption,author_username,author_url,following_count,followers_count,likes_count
traveltok,https://www.tiktok.com/@epicexploring/video/7242368881744973082,You must visit these bucket list places in your lifetime 😨🤩,epicexploring,https://www.tiktok.com/@epicexploring,64,1300000,52100000
traveltok,https://www.tiktok.com/@elimwenda/video/7310561750833728774,Winding up the year and going through my travel folder is always interesting. Did you count all the countries in my 2023,elimwenda,https://www.tiktok.com/@elimwenda,376,31100,563500
traveltok,https://www.tiktok.com/@charleswahinya_/video/7309850282521890053,Redefining my lifestyle.,charleswahinya_,https://www.tiktok.com/@charleswahinya_,540,4404,40600
traveltok,https://www.tiktok.com/@rheen_ruby/video/7307962355248286982,Mt Kenya National Park. The hike to Lake Ellis and Nithi falls was quite refreshing! From taking a dip in the lake at 3455m above sea level to drinking water direct from the streams…bliss!,rheen_ruby,https://www.tiktok.com/@rheen_ruby,446,19600,371400
traveltok,https://www.tiktok.com/@jovenchi.k/video/7308708064994036997,I love Arusha #arushatiktok,jovenchi.k,https://www.tiktok.com/@jovenchi.k,2234,40100,708600
traveltok,https://www.tiktok.com/@shique_phillips/video/7301722332366703878,5 things that will make your Malindi trip epic- with prices🤗.,shique_phillips,https://www.tiktok.com/@shique_phillips,24,18100,168200
traveltok,https://www.tiktok.com/@elimwenda/video/7308988714699558150,Daily Vlog P25| This is your sigh to take a spontaneous trip to Dubai with your friends.,elimwenda,https://www.tiktok.com/@elimwenda,376,31100,563500
traveltok,https://www.tiktok.com/@shique_phillips/video/7298770275301182725,"A hidden gem in Malindi👏 Booking is for whole cottages, one cottage can accomodate 5 people and is 12,000Ksh a night.",shique_phillips,https://www.tiktok.com/@shique_phillips,24,18100,168200
traveltok,https://www.tiktok.com/@travelwithrica/video/7282058756731473184,📍Kikonko Lodge,travelwithrica,https://www.tiktok.com/@travelwithrica,481,7690,46600
traveltok,https://www.tiktok.com/@shique_phillips/video/7285394703615364358,"Please visit prison island when you go to Zanzibar. There is soo much, feeding tortoises, beautiful peacocks, an ancient prison, historical structures, and an awesome beach right outside. (We paid $12 per person for a boatride to prison island, entrance fee, then to to nakupenda island and back to stone town.)",shique_phillips,https://www.tiktok.com/@shique_phillips,24,18100,168200
traveltok,https://www.tiktok.com/@travelwithrica/video/7282433862741855520,insta: rica.rsbg #ugandatiktok,travelwithrica,https://www.tiktok.com/@travelwithrica,481,7690,46600
traveltok,https://www.tiktok.com/@paola_audrey/video/7286035081091714337,#holidays #vlog #Kenya #trip,paola_audrey,https://www.tiktok.com/@paola_audrey,47,43200,480800
traveltok,https://www.tiktok.com/@perfectstrangerssfaris/video/7287340979751832838,"Charming cottage in a sanctuary a walking distance to the lake, peaceful and tranquil!",perfectstrangerssfaris,https://www.tiktok.com/@perfectstrangerssfaris,711,9472,60700
traveltok,https://www.tiktok.com/@doctalulu/video/7283365745143123205,Replying to,doctalulu,https://www.tiktok.com/@doctalulu,417,164400,854600
traveltok,https://www.tiktok.com/@lunnrojars/video/7285841311259790597,#jinja #jinjarinya,lunnrojars,https://www.tiktok.com/@lunnrojars,20,19500,114100
traveltok,https://www.tiktok.com/@aderinsolao/video/7293443449448123653,Travel with me (and my friends) to Nairobi,aderinsolao,https://www.tiktok.com/@aderinsolao,581,1745,51600
traveltok,https://www.tiktok.com/@paola_audrey/video/7288810821751229728,#Kenya #Nairobi #Diani,paola_audrey,https://www.tiktok.com/@paola_audrey,47,43200,480800
traveltok,https://www.tiktok.com/@msafiri.co/video/7281357511393856773,"Bucket List Activity in Diani; 1 hour cruise into Kongo River, enjoying the best Sundowner in Diani Beach through the Mangroves on board a traditional canoe.",msafiri.co,https://www.tiktok.com/@msafiri.co,176,15000,174600
traveltok,https://www.tiktok.com/@villamanmalindi80/video/7302125536036375814,#vacation #holiday,villamanmalindi80,https://www.tiktok.com/@villamanmalindi80,56,5244,33800
traveltok,https://www.tiktok.com/@travelwithrica/video/7286525873933667617,Mountainbiking in Rwanda insta: rica.rsbg,travelwithrica,https://www.tiktok.com/@travelwithrica,481,7690,46600
traveltok,https://www.tiktok.com/@__suzie__a/video/7286046089306836230,Birthday Tripp 😍😍,__suzie__a,https://www.tiktok.com/@__suzie__a,200,1084,19000
traveltok,https://www.tiktok.com/@rheen_ruby/video/7306768942754778374,"I’ll never get tired of saying this…chop life, problem no dey finish 😎",rheen_ruby,https://www.tiktok.com/@rheen_ruby,446,19600,371400
traveltok,https://www.tiktok.com/@rheen_ruby/video/7293946084513074437,Memories are made of these! I’ll be hosting Zambia in August 2024. Talk to me 😎,rheen_ruby,https://www.tiktok.com/@rheen_ruby,446,19600,371400
traveltok,https://www.tiktok.com/@winnkarue/video/7307216222712679686,Snippets of a weekend well spent with some cool travel buddies✨️,winnkarue,https://www.tiktok.com/@winnkarue,91,1246,17200
traveltok,https://www.tiktok.com/@lian_ireri/video/7293865259478043910,Sunrise game drive in the Mara.,lian_ireri,https://www.tiktok.com/@lian_ireri,100,4546,121100
traveltok,https://www.tiktok.com/@travellingtee/video/7296792426780347654,"📍Livingstone, Zambia 🇿🇲 Sanctuary Retreats Sussi & Chuma",travellingtee,https://www.tiktok.com/@travellingtee,113,1053,8045
